"data","Freq"
"_ d i n g",169
"_ h a n d",168
"_ m i m _",168
"_ v e r g",168
"a r t e _",168
"z w e i _",167
"n a n d e",166
"_ w a n n",165
"g r o s s",164
"h a l t e",164
"n d e r s",164
"u n g e _",163
"s ü e c h",162
"_ g s c h",161
"s c h i e",161
"_ s i e h",160
"' s à i t",160
"e t z t _",160
"g ' s à i",160
"h ü e t _",160
"u m p f e",159
"_ h ü s _",158
"_ d a s s",157
"l i c k _",157
"_ w o h l",156
"_ f r e i",155
"e i s s t",155
"a s s e _",154
"m p f e r",154
"s c h r i",154
"_ a l t e",153
"g e h n _",153
"g e l d _",153
"j u n g e",153
"s i c h e",153
"u n t e r",153
"w a r t e",153
"_ u n d _",152
"i e w e r",152
"w o r t _",152
"_ u n t e",151
"o r u m _",151
"v e r z e",151
"_ w o r u",150
"e s c h t",150
"f ü e r _",150
"i g e r _",150
"w o r u m",150
"f a n g e",149
"s t i l l",149
"_ g e h n",147
"h s c h _",147
"_ b r i n",146
"_ j o h r",146
"_ s t i l",146
"h a n d _",146
"i c h e _",145
"i e w e _",145
"p f e r _",145
"r e d e _",145
"r i n g e",145
"_ b e s s",144
"_ k e i n",144
"d a s s _",144
"_ e r s c",143
"_ s c h r",143
"_ s p i e",143
"g a n g _",143
"k e n n e",143
"_ b i e n",142
"_ d r u m",142
"_ g e l d",142
"_ h e t _",142
"_ l o s s",142
"_ v o m _",142
"_ w i t t",141
"b e s s e",141
"l t e r _",141
"t s c h _",141
"_ e b s _",140
"g u e t _",140
"k o p f _",140
"_ h o c h",139
"s u n s c",139
"_ a n e _",138
"j o h r _",138
"_ e i n e",137
"_ w u r d",137
"a n k e _",137
"d r u m _",137
"s t a n d",137
"_ s c h m",136
"a l t e r",136
"m a c h _",136
"_ f ü e r",135
"e i n e r",135
"w u r d _",134
"k u m m t",133
"t h ü e t",133
"_ m i n i",132
"h e i m _",132
"n t e r _",132
"_ e i g e",131
"_ m a d a",131
"_ s a c h",131
"a m m e _",131
"e t e r _",131
"m a d a m",131
"_ d r i n",130
"_ s c h e",130
"_ w i d d",130
"i t e r _",130
"_ s u n s",129
"b i e n _",129
"e i s t e",129
"_ d a m _",128
"_ r e d e",128
"_ z ü e m",128
"c h t i g",128
"d d e r _",128
"j e t z t",128
"_ n i e m",127
"' m a c h",127
"e n n t _",127
"g ' m a c",127
"i d d e r",127
"i n d e _",127
"i t t e r",127
"k i n d e",127
"m i n e _",127
"m i n i _",127
"u m m t _",127
"a d a m e",126
"i c h t e",126
"i s t e r",126
