FileName,Author,authorPlaceOfBirth,PubPlace,PubDept,datePrint,Tokens
jost-dr-erscht-handel,Camille Jost,,Strasbourg,Bas-Rhin,1928,6470
jost-e-dienschtbott-wurd-gsuecht,Camille Jost,,Strasbourg,Bas-Rhin,1928,3275
kleisecker-dr-schnider-von-gambse,H. Kleisecker,,Strasbourg,Bas-Rhin,1920,8467
lasch-dr-babbler,Gustav Lasch,Strasbourg,Strasbourg,Bas-Rhin,1911,3379
riff-d-schloofere,Jean Riff,,Strasbourg,Bas-Rhin,1914,5614
riff-dr-hasestrickler,Jean Riff,,Strasbourg,Bas-Rhin,1922,6385
sengelin-d-mamsell-elis,Xavier Sengelin,,Colmar,Haut-Rhin,1920,17245
stoskopf-e-diplomat,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1899,3152
stoskopf-e-mordsaffar,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1900,3065
stoskopf-wenn-d-fraue-wahle,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1925,21886
wagner-die-greifensteiner,Emile Wagner,,Rouffach,Haut-Rhin,1930,13867
weber-am-wihnachtsowe-bym-e-kriejsblinde,Emile Weber,,Strasbourg,Bas-Rhin,1927,4088
weber-e-bissel-lieb,Emile Weber,,Gundershoffen,Bas-Rhin,1936,13015
weber-wihnachtsstimme,Charles Weber,,Colmar,Haut-Rhin,1920,8254
weigel-in-dr-awril-gschickt,Madeleine Weigel,,Mulhouse,Haut-Rhin,1930,6098
