0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
_arns,eryns,erins,uranz,ernis,erenz,_erns,arnsa,eräns,irons,orns,irns,arns,irns_,erons,erans,erns,urons,ernes,arnis,iranz,uerns,ernsa,erns_,eruns,arnes,,,,,,,,,,,,,,
sikp,skeba,sgebi,skeb,skab,zkapp,zgebo,skop,zgeb,sgep,sakbü,sakb,skup,sgepa,sigp,skap,sgepo,sackb,skübe,zkap,zkop,skapp,skebä,sskap,sküb,_scb,sgeb,skabb,sgebä,_sakb,skupp,sgab,ssgeb,sgabe,sgebe,sekop,sgo’b,,,
hasaf,hüßf,_hüsf,hosaf,_hüßf,hausf,huusf,hasef,hez-v,hüsf,hüssf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_walf,velof,_welf,welfe,wahlv,welf_,wohlv,walfa,wölfe,wölf,vélof,_wolf,wohlf,wölf_,welew,welf,wolf_,walfi,wöelf,walf,wilaw,wolfe,wallf,wolf,_wölf,,,,,,,,,,,,,,,
shrie,_shri,_shr,sherr,shir,sahar,sehur,sharr,shor,shoor,shri,shar,shüch,,,,,,,,,,,,,,,,,,,,,,,,,,,
ndigu,ndiga,ndjo,ntja,ndige,ndega,ndja,ndjah,ndjoh,ntja_,ndigi,ndji_,ndji,,,,,,,,,,,,,,,,,,,,,,,,,,,
ostka,istig,ustiq,ichtg,ostig,ästig,ustac,est-c,östc,ustk,istka,astiq,ustig,istoc,estüc,estük,astig,astik,ustic,estec,istkä,ostk,istik,istki,asdac,estag,istk,estic,istic,estöc,estiq,estoc,istok,estok,,,,,,
tanen,tönen,dnan,tnön,denen,dnun,tnan_,tnan,tnöön,tonen,tinen,tenan,t-nan,denun,dinan,,,,,,,,,,,,,,,,,,,,,,,,,
mißv’,mißv,mosph,müsfa,mesaf,_mißv,müsf,mesve,misph,_müsf,mißve,mis-v,missv,mesv,,,,,,,,,,,,,,,,,,,,,,,,,,
btag,btig,batag,büdic,btig_,btag_,bütik,bedec,bettg,badag,büdik,budge,bdec,bdeck,bdac,_budg,budg,bodeg,pedec,,,,,,,,,,,,,,,,,,,,,
hinz,honzi,händs,honzy,hünds,hints,hintz,hends,hanze,hunds,hinzu,hunz,hanz,hunzi,honz,hànds,hands,hinoz,_hinz,,,,,,,,,,,,,,,,,,,,,
ronew,rnunf,rnvie,rneva,rnav,rnäwe,rnewe,rnvi,rnev,ronv,_ranf,renf,renfo,_rnew,rninf,rnàw,hrenv,ranf,rnfa,_renf,rynfa,_ronf,ronf,_rnäw,renv,rnhaf,rnv‘,rnäw,rynf,rnew,rnünf,rnfe,renvo,rnave,rnvo,rennf,rnve,rnaw,_rnaw,ronvi
fkumm,fkum,fg'm,fgem,fkomm,fkom,fg'ma,ffgem,ffkum,fgema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cksv,gswe,ksvo,_xv._,cés-v,ckswu,gswah,xavi,_xave,xaver,_xv.,xebä,cksw,kswi,xewä,_gasw,kswa,cksvo,xave,gaswi,xwei,gasw,_xavi,xv._,ckswi,gsver,_xav,gsve,gsvo,kswu,xavie,gswa,gez-v,xebu,xver,,,,,
fosc,ffsg,fsuec,fesac,_vesc,fizk,_fesc,ffisc,phisc,fé-sc,fesc,-fesc,füsc,fasc,_füsc,_fasc,ffsic,f'sc,fsüec,_fusc,fisik,fizkü,ff’sc,_fisc,ffesc,vesc,feesc,fsko,f‘sc,fisc,fsic,f’sc,fusc,ffsc,,,,,,
