0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
wehe_,veehü,_wohi,wehu,veehe,wohe,veehi,weiha,wohi,woher,weher,weihu,viehe,_wehö,wäihü,wehen,wohi_,-wohe,viehh,weihe,wehö,_wohe,wohie,wehe,wuha,wehöe,viehü,_wehe,veehh,_wuha,,,,,,,,,,
gskin,gskna,gskn,kskin,xikon,xkun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ffgfa,fg’f,fghow,fgfi,fgfa,ffgaw,ffgew,fg'fi,ffgf,fgefa,fg’fo,ffg’f,fgewa,fgaw,fgef,fegaw,fgfie,fgew,f-kaf,fgewe,fg’fa,fgewä,fg'f,ffg'f,,,,,,,,,,,,,,,,
bish,bsh_,bosha,bsehä,_bish,_b’sh,_bosh,bosh,b’sh_,bshe,bshei,bish_,bishe,bshi,b’sh,boshe,,,,,,,,,,,,,,,,,,,,,,,,
sstun,ssdin,zten_,zton,saten,hsten,sydn,ßten,ztoni,sedan,sidan,’stän,südan,sst'n,’stan,sstan,zdün,ßten_,'stan,hstun,satan,sst’n,ssten,satin,_sydn,zten,sidän,siden,hstan,’sten,sydne,s-don,,,,,,,,
hubka,habg,hubk,_habg,habgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hiest,histu,_hest,histo,hist_,_hist,hast,hest_,husd,haste,heste,hest,hüst,_hast,hüest,heest,huest,_husd,hichd,hicht,_hüsd,häist,hast’,huste,hist,hust,hesta,hesti,hüsd,hüst_,huusd,hast_,husdi,heist,_hüst,hecht,,,,
fetzt,fzut,fzeht,fätzt,fitzt,fàtzt,ftst,fzude,fzud,vezit,ftste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nemes,nmusi,nmas,nehms,nimms,namms,nmass,nimus,nmes,nims,nmus,nmäss,nmäs,nyms_,nomis,nums,names,nemüs,nmess,nimüs,näms,_näms,_nims,nemms,nmueß,nyms,,,,,,,,,,,,,,
jssic,jsic,jisig,_jesc,jusc,_jusc,hjsc,jäsc,jsig,jüsc,jsge,jisc,_jäsc,_jüsc,_jisc,j'sc,jsig_,jsca,j’sc,jesc,,,,,,,,,,,,,,,,,,,,
mpfig,mpfe,mpev,mpfeh,mpfa,mpfi,mpfu,mpf_,mpfen,mpfe_,mpeve,mpfä,mpevo,mpfa_,mpf',mpf-,mpevä,mbenf,mpfer,,,,,,,,,,,,,,,,,,,,,
hips,hebse,hobs,_hebs,hobs_,haps,hebs,_hübs,habse,hopse,habs,hobas,hops,_hips,haps_,hibüs,hebbs,hopas,_habs,hopsa,habs_,hüps,hibsi,_hüps,hübs,hipse,_hobs,hopps,hobse,hobsa,hüpse,hibs,hops_,_hops,habsu,hebs_,,,,
rvek,rowec,rfek,rvic,rfuc,ruffg,refak,riefk,rufg,hrfyg,rfüc,rfügu,rific,refec,rfüg,roofg,rvoge,rvice,rewig,rfyg,ruffk,rfygg,rufge,reifg,rufko,rufk,rfac,rvog,,,,,,,,,,,,
lesel,lasel,llsal,lisla,liesl,läsl,lüßl,lsaal,lisl,lisel,ließl,losal,lüßle,lsal,_lisl,lißel,leßl,lasle,leßli,läsel,läsle,lasl,lsohl,lüßel,hlüßl,läs'l,lasal,lsala,lisli,,,,,,,,,,,
ebsel,ybsl,àpsl,iebsl,ebsl,ebsli,äpsel,àpsle,ebsly,absol,ibsl,ipsel,ybsly,ibsli,apsel,abz'l,,,,,,,,,,,,,,,,,,,,,,,,
_foxt,foxt,'fuxt,fgset,foxte,fuxt_,fg’st,fg'st,fuxt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ehoz,ahez,ahezu,ehoz_,ehitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halbe,help,_halb,heleb,helbä,hilip,hallb,halb_,halba,halb,helb,helbu,helab,helpa,,,,,,,,,,,,,,,,,,,,,,,,,,
nbro,n-pré,nbri,nebr,nüber,nbre,nnebr,nabbr,nbren,nnbar,nebar,npro,neber,nbrö,nbier,nbar,napar,nbur,nbare,nberü,'enpr,nbrie,nebrü,npri,nber,nprie,nbar_,n-pr,nbru,nbrü,n-par,,,,,,,,,
lmil,lemal,lmehl,lmal_,liaml,lmel,lueml,lmal,llmol,lmähl,lüeml,lemol,lmili,lmühl,lieml,lmel_,lmol,lmole,lmool,lmele,lmol_,,,,,,,,,,,,,,,,,,,
nibbl,nbal,_nabl,nabl,napol,nobel,nbelo,nblu,nebl,nbil,nobli,nable,neblü,nbela,neblu,nbli,nabel,nabül,nibal,nebel,nball,nbel,nabla,nnabl,nnebl,nbol,nblue,noble,nbühl,nobl,_nobl,,,,,,,,,
helmü,helm_,helme,helem,hälm,helam,hallm,hüalm,helmé,_hälm,helm,hélem,hilom,hälme,huelm,heilm,,,,,,,,,,,,,,,,,,,,,,,,
rtshü,rdsch,rdsh,rtshi,rotsh,retch,rutch,rtsh,rtich,ratsh,rtsch,rdsha,rdshu,,,,,,,,,,,,,,,,,,,,,,,,,,,
sims,smäss,smæs,smus‘,sames,_sims,ssmüs,smeis,smäs,smäß,smus_,smüsi,sams_,smüs,zmeis,semes,smus,simse,smass,smæss,zmais,sams,smüse,zmies,zmis,smües,_sams,smäßi,smas,,,,,,,,,,,
elpre,elbri,olpor,elebr,ulber,elber,ulpr,ilber,elbur,ulper,olper,ilbri,ülber,albr,elbr,elpry,alber,ilibr,elbrü,ulpre,elbar,albro,ilbr,elpr,eilbr,ehlbr,,,,,,,,,,,,,,
mixtü,mixte,mixt,_mixt,müxt,müxt_,mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sself,s-läw,sselv,ßlöf,släw,s-lew,ßlöff,silve,selew,sallv,slaüf,silv,slief,selv,slew,_silv,selvi,slewe,self,släwe,,,,,,,,,,,,,,,,,,,,
chseg,ch‘sc,chsc,chesc,chüsc,chesk,chzge,ch-sc,ch’sc,chsic,ch'sc,chsek,chzg,schsc,,,,,,,,,,,,,,,,,,,,,,,,,,
mfüs,mfass,mphis,mfas,mfüs_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mbamm,mpemä,mbam_,mpema,m-bum,mpem,mpeme,mbam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setzl,szuli,szel,ßzel_,szähl,szuel,ßzel,szahl,sitzl,szul,szele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neha,nehu,nohe,_nahe,nahen,nehü,noher,nähe,_nähe,nnehu,niher,nahe_,nehi,nehüe,naher,nnehe,nihe,nnähe,nnahe,_noha,näher,nehaa,_nohe,nehüü,noha,nahe,nehe,nähe_,nnehü,,,,,,,,,,,
bissz,bsetz,bszi,bsits,bz'za,bz'z,bsitz,bsätz,bsatz,besiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eheme,ohäm,ehim,ehüm,ehimm,eheim,uihim,ehem_,ohame,ihimm,ehümo,ohämm,ehem,aheim,ihim,oham,ohamm,,,,,,,,,,,,,,,,,,,,,,,
magm,mekum,magmo,makim,mekom,mkom,mkumm,mkum,mkäm,mkomm,_magm,mkämm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_nins,nnanz,_nyns,nense,nions,nanz-,nenso,nenas,nans,neins,nenz,nins,nyns,nons_,nons,_nynz,nanz_,nynz,nens,_nanz,ninz,nnens,nanz,nenz_,nçons,nunz,_ninz,neanz,,,,,,,,,,,,
ramwà,rumwu,rumwe,rumwi,rmwa,ramw,rmwä,rumw,ramwa,rmwi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tulpe,delbe,thalb,tölpe,ddelb,tulb,télép,delb,dulib,tlab,telb,telp,dolp,tulp,ttelb,delbu,tlob,tölp,telbü,telep,tülip,dleb,tolp,telba,tlob_,delbi,ttlob,dlebe,telpo,tulbe,tlabe,_tölp,telbo,htulb,tolpe,,,,,
rlon,rlan,'rlan,rlon_,rlonn,rloon,rlohn,ralin,relan,rlyni,rolin,rlein,rlehn,rlene,rlin_,rlän,rlen,rline,rlin,rlyn,rlean,,,,,,,,,,,,,,,,,,,
blybä,bbelw,_bilw,bulve,bliwe,_blyw,bliew,blyw,bellw,_bulv,_pulv,blyww,bliw,belwa,ballw,blovo,belw,bulv,belew,_bliw,blov,_balw,pulve,bolew,bliww,blebe,blyw_,'bliw,bleiw,blywe,blyew,balwi,pulv,bilwe,balw,bliwa,pielw,bilw,hbulv,
mizze,mizzi,hmizz,mezzi,mezz,mezzo,mizz,_mezz,_mizz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shne,shann,shün,shnei,shahn,_shun,shän,shun_,sehun,shön_,hshün,shene,shan,_shön,shan_,shun,sehan,shön,hshun,,,,,,,,,,,,,,,,,,,,,
hewür,_havr,hewyr,hefr,hafr,hâvre,hafri,hefri,hewir,hiwar,havre,häfer,hefra,_hâvr,hefre,hâvr,havr,,,,,,,,,,,,,,,,,,,,,,,
bwehr,bverr,bwer,pauvr,bwur,bwar,bewir,bevor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rüskr,rzkir,rsgr,rzkra,rzgr,rzgru,rzkr,rescr,rsgra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ffopf,fopfe,fopf,fbewa,fbew,fubf,fupf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herw,harw,herwu,harwe,herv,herwi,haarw,hochv,hoorw,herwe,hochw,hervo,hariv,_herv,härw,härwe,,,,,,,,,,,,,,,,,,,,,,,,
_terh,türha,türhä,drhi,derhi,derhe,trohh,terha,terhä,torh,drohu,terhu,hterh,tierh,derh,_drhi,_torh,derho,türh,terhü,_drh,derha,terhi,tachh,torhu,terhe,dderh,terh,tarrh,derhü,trahi,_derh,tterh,torhe,terho,,,,,
sz's,sz'z,soz's,ssesz,sez's,sesz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmane,rmaan,rmna,rme-n,ramen,rmany,rumen,rummn,rimin,remen,rmüen,rmen_,romen,rmann,romn,remon,rmin_,rmein,rmen,rumn,roman,rman,rmenh,hrman,raman,rmani,rümen,rmänn,rmän,romni,rumnu,rmain,rimen,reman,rmun,rmin,rmoni,rmon,,
_konz,knets,gants,ganz_,ganz,kanz,kinds,kunze,cenz_,_ganz,canze,knitz,kunz,gaönz,ganze,-ganz,_kunz,kuenz,kunds,kienz,konz,cenz,ghunz,ganza,gänz,.ganz,gends,kanze,gnets,göönz,kunz_,gnez,_kanz,ganzi,konze,gents,canz,gendz,kunts,kends
libfe,lopf,lipf,lobf,lhubf,lipf_,llupf,lhupf,lhopf,lopf_,hlupf,lüepf,hlopf,löbfe,lobfe,hlüpf,löbf,lhöpf,_lüpf,lepfo,_libf,hlipf,_lipf,lüpf,libf,läpf,lopfe,llepf,lbaf,lupfe,lbaff,laubf,lbve,lupf_,lupf,lüpfe,lepf,lipfe,,
faibl,fblöü,febl,_vebl,fblö,feblo,vebl,fblo,vebla,fabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_lerc,_lörg,lerk,lerge,lerg,hlrec,lörg,lorg,lörg_,lehrg,llerg,hlirg,lrec,lirg,lirge,_lorg,l'arg,lirgi,lärc,lierg,lerkü,lerc,lachg,lerik,lreic,,,,,,,,,,,,,,,
mgeli,_megl,mogli,migl,_mögl,mocl,_mogl,mogol,mogle,_migl,meglo,mackl,mglo,mogl,moclè,mgelo,megl,mgel,megli,mgela,mögl,mogel,mögli,migli,micil,,,,,,,,,,,,,,,
nern_,nhorn,neren,_nern,nerne,nern,noran,nerun,nnern,n’r’n,nären,nrein,nerin,neryn,narn,narne,_narn,,,,,,,,,,,,,,,,,,,,,,,
rvun_,rewan,rven,rewen,r'vun,rfen_,rfni,rvohn,_rvun,rfun,rfän,rvunn,rf'ne,rfine,rivon,r-fin,röffn,rfin,rf'n,rveni,rven_,rufen,rfena,rvon,rüfen,reven,revan,rfen,rvun,raven,rfähn,rofon,rvon_,rafen,rüfun,rvena,,,,
gewac,gvog,gefuc,käfig,gewik,g'fuc,gewec,_gfyc,gefoc,kaufg,gäwig,g'fic,gewog,gewek,gewic,gewäc,käufk,gfyc,g’foc,kfac,chvog,,,,,,,,,,,,,,,,,,,
panje,punj_,bonjo,panj,_bonj,bonj,punj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eldho,oldh,ildhi,aldho,oldha,oldho,ildth,aldhö,aldh,ildha,oldhe,eldh,eldhy,ohlth,aldhü,ildh,eldhü,,,,,,,,,,,,,,,,,,,,,,,
ermed,ermit,ürmt_,ermet,armt_,ormit,ürmt,ermid,ormat,ermt,armt,erümt,eramt,ermüd,ermat,ärmte,üermt,ermut,ermod,irmt,ärmt,erämt,irmt_,erumt,ermüt,ärmt_,ermt_,erumd,,,,,,,,,,,,
mbés_,mpsey,mops,_mobs,mobs_,mbüs_,mpse_,mpez_,mbais,mbois,mbse_,mpez,mposs,mbés,mbis,mbose,mpes,mbosa,mbse,mpse,mpos,mbiss,mbesi,mpesa,mops_,mebis,mbes_,mposi,mposa,mobs,möps,mbüs,mbos,mepas,möps_,mbs_,mhüps,_mops,mbes,mps_
uptar,auptr,uptro,üptro,ypter,öbter,_abtr,optir,abt-r,ubter,abtr,üptr,ebter,epter,uptr,abtre,ibt’r,abtro,abtrü,abt'r,aüptr,ebt'r,abt’r,,,,,,,,,,,,,,,,,
erqua,erkw,_argw,ergew,urquo,urgve,erkwü,erqu,arqui,argw,ürgew,argwo,orgew,erquä,erikw,urgvo,ériqu,oriqu,ourqu,irque,arqu,arque,urgv,irqu,ergw,arqué,ergaw,ärgw,ergwe,erque,erkwi,urqu,ärgwä,,,,,,,
optl,aptle,optlo,aptl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usthä,üsthü,üsdh,usth,ichth,_esth,esth,esthé,üsth,ichdh,esthy,üsdhi,üsthä,,,,,,,,,,,,,,,,,,,,,,,,,,,
_zank,zinki,zänge,tzung,zünge,zang,_zang,zank,zanke,zähnk,_zink,zang_,zange,zäng,zing_,zunäc,tzäng,züeng,tsnac,_züng,zung_,züng,zinge,zing,zung,_zing,zink,zàng,zunge,_zung,,,,,,,,,,
_hech,hisch,haush,hôchs,hechs,hich_,häsch,heech,hüsh,hochs,heich,hüshà,hiech,höhch,hasch,hich,hesch,hichu,hüsch,höchs,hech,hech_,heche,höech,hecho,hiche,haich,hüsha,_hüsh,husch,_hôch,huush,hôech,hôch,,,,,,
ersly,arsle,ürsül,arsl,uersl,ersel,erüsl,ursul,ersal,orz'l,ersl,erslo,ursel,ursal,ersla,ersle,ersol,ersli,arsel,,,,,,,,,,,,,,,,,,,,,
chnel,knoll,_knel,chnäl,kenl,knöl,_knol,chnul,kinnl,_knal,kenlo,ginel,ckenl,chnal,gnali,kanal,kànel,knöll,ginal,knall,knal,knol,knel,chinl,kenla,knell,gnal_,gnal,,,,,,,,,,,,
ccupi,ccup,geköp,ccep,kgebe,ckgeb,gegeb,gkap,gkapa,ckkop,chgeb,ccupe,kekop,kgeba,kgep,kgepu,gekib,ckgep,kgeb,,,,,,,,,,,,,,,,,,,,,
rstc,rstk,rstöc,rstüc,rstec,rustk,röstc,ristk,rstoc,rstic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davon,tuffn,dfon,devin,ttfin,devun,tfün,divan,dtfin,dven,towen,devan,deven,defon,dfin,dfàn,défen,tfin,defin,tiven,devon,défin,,,,,,,,,,,,,,,,,,
swach,¨swer,swör,swir,suivr,swor,z'wer,swar,sewir,swer,swür,svor,ßwar,sebur,säwwr,sswir,sibir,sebar,'swar,swar_,swur,z’war,sverr,swär,svera,svere,swöer,ßv’r,,,,,,,,,,,,
box-c,paksc,bgesc,_boxk,boxku,boxk,bg’sc,begsc,bgsc,bg'sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmaac,rmka,rmack,rmac,rumg,rmög,rmeek,rumga,rmgei,rumge,'rumg,rmge,romag,rmöga,rumg',rmeka,rmag,rmöge,rmek,rumku,rmaci,rmag_,_rumg,rumg’,rumk,,,,,,,,,,,,,,,
xeza,ckesz,gszei,xtes,cksz,gsetz,_gsez,kesz,xtes_,xezau,kszah,cusez,gsez,keszi,ksza,gszu,cksza,gsze,gszue,,,,,,,,,,,,,,,,,,,,,
isasc,esusk,ußsuc,üsssc,_yßsc,üsz'g,osasc,esisc,osesc,yzsc,ösisc,yßsc,esesc,üßsc,ez'sc,_azsc,isesc,usssc,üsesc,azsc,,,,,,,,,,,,,,,,,,,,
midag,metkä,mitku,mtig,mitge,_mitk,mütig,mitga,mitka,mitk,médec,mitg,mädc,metic,médic,_mädc,medik,medic,mitgà,mitgi,mitgä,mitg’,metk,m-tuc,matc,_mitg,matik,mitg',m-doc,mmetk,,,,,,,,,,
chseb,x-baa,xper,x-ba,x-be,c-sup,chsup,xebä,ksup,kssp,käseb,-exp,_x-be,_x-ba,'exp,_x-b,ksupp,g'ssp,xebu,,,,,,,,,,,,,,,,,,,,,
nrück,nrock,nork,nerk,nrüec,nirge,nergi,nerke,nroc,nragi,nork_,nrag,nreic,hnerk,narc,nrac,nnerk,nirg,_nirg,nräc,nrec,nric,nerik,nachk,nachg,naric,nerg,nochg,-nork,nerko,hnarc,hnric,nrüc,,,,,,,
vokat,vögt_,wiegt,_vogt,weckd,_vict,vict,wekt,wakt_,vögt,wekt_,wiget,vogt,wakt,wogt,vekad,weged,wegte,victo,'wogt,wegt_,wigt,vocat,wogt_,wigt_,weckt,weigt,vogt_,wegt,,,,,,,,,,,
bstv,bstve,bstw,bstwi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzle,ltslo,làtzl,lzula,litzl,latzl,lzle_,lzel,lzel_,lzul,lätzl,llzul,lötzl,ltsl,,,,,,,,,,,,,,,,,,,,,,,,,,
bewys,_pfos,pfüs,pfes_,pfez,pfs_,beffz,pfuuß,befz_,bewuß,_pfis,bewiß,bewis,_pfiz,bfas,pfes,pfuus,befz,pfüüs,pfiz,bfass,pfis,befas,pfos,,,,,,,,,,,,,,,,
tkann,tkan,tgenn,tügen,degen,_dign,dicin,digun,digne,digen,decin,dig'n,tgen,tkne,tgehn,teckn,tagne,t-cin,tagn,tgan,tigan,tgnu,tigun,tigen,tekin,ti-kn,tugen,tkin,tgnu_,tagna,tgän,tagen,dköni,dign,dkön,htkin,tgenu,tikon,,
nfun,nvena,nfan,nfeny,niwin,nvenu,näwen,newen,nfün,nfen,nfin_,newan,nveni,nfian,nven,nfin,newän,,,,,,,,,,,,,,,,,,,,,,,
chhe,schhi,chhö,chhau,schhä,chhä,chhah,schho,chahe,chher,chhüe,chhoo,chhöe,chho,chehe,chehä,chhi,_schh,chhei,schh,chhuu,chhe_,schha,chhü,chhu,chhäi,chhu_,schhe,chha,chehü,chhà,chhee,schhü,chuhe,,,,,,
flir,fler,flur,_flor,floch,fler_,flar,flora,fluch,flach,flori,fleur,_flur,fläch,velor,floré,füler,flüch,flor,flor_,flur_,flore,vul'r,,,,,,,,,,,,,,,,,
bsbi,pa-sp,biesp,_b’sp,b’sp,bspi,bisp,bispi,bspen,besp,besb,beisp,bsper,_besp,psbou,_bisp,bspe,bespi,_b'sp,psbo,psbu,b'sp,bbesp,bspie,,,,,,,,,,,,,,,,
_exer,ixir,oxer,ixier,ixir_,ihxer,exer,axier,ikser,exier,exere,oxre,oxer_,,,,,,,,,,,,,,,,,,,,,,,,,,,
ftig,fedec,ftec,ffdec,fadig,ftek,ftiga,fteck,ftige,ftikü,fdec,ftig_,ft’ge,fdeck,fatig,ftek_,ftigu,ftigi,fadeg,ftik,ft’g,,,,,,,,,,,,,,,,,,,
ehlst,elzt,älzt_,älzte,elstu,ulsto,elsd,elsti,elstü,alzt,_alsd,elsto,alsdu,elstä,alsst,ilst,alst,alstu,elste,elsdo,ylst_,alzt_,elsta,elst_,ilst_,ilsto,elzt_,alsdü,ellst,ylst,älzt,ulst,illst,alsd,elsit,ollst,elst,alsda,,
alsf,_alsf,alsfu,alzfà,alsfä,elsf,elsvi,elsaf,alzf,elsfü,elsv,elsef,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chkn,schkn,chgan,chkni,chkin,chgn,chign,chkan,chgnu,schgn,chgän,chekn,chknö,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamol,_haml,haml,häml,haiml,hämli,häiml,haaml,hämel,hüeml,huml,heiml,_häml,himml,hamle,humml,hamlo,humle,hemol,,,,,,,,,,,,,,,,,,,,,
hölz,hiles,hilz,hulz,hals_,holz,heils,holz_,hals,huls,hells,hols,hüels,_hals,häls,hilos,halss,_hols,_holz,halse,heles,hiels,holis,_hölz,hels,hilis,_häls,helas,holzh,hylls,höelz,hohlz,halus,helz,hols_,,,,,
spez,spitz,spyz,spazi,spàtz,_spez,_spiz,spiz,_spyz,spezi,spaz,spatz,spiz_,’spaz,spaze,sbez,sbeza,_spaz,,,,,,,,,,,,,,,,,,,,,,
_mizz,hmizz,mezz,mizz,_mezz,mzes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
üssfl,üsfal,üsfl,üsfil,esfal,üsflü,ausfl,usflu,usfül,üsflu,_üsfl,_usfl,isvol,essfl,usflü,usfl,,,,,,,,,,,,,,,,,,,,,,,,
mägd,mged,magd,_màgd,mget,mgeht,mekt,magde,mkat,mkait,mkeit,meckt,makt_,_magd,hmekt,mkata,mückt,meget,màgd,màgd_,megit,_mägd,magd_,mkate,mekt_,makt,maget,meekt,_makt,magd-,mägd_,,,,,,,,,
rliec,rloge,rlieg,hrlic,rlage,hrlig,rlag,rloc,rlic,rlog,rleug,rlock,rläc,rlig_,rleg,rlyc,ralag,rlegy,rleig,releg,rrlig,rrlic,rlegi,rlec,rlac,rleic,rlige,rleuc,rlaga,rlege,rligg,rolc,rlig,relig,relic,,,,,
häxt,hext,häxed,haxt_,häxt_,hexd,hexde,haxt,hext_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chtep,chtpe,gdebu,chtab,gdab,kt-b,chtbe,chtup,chtbü,gdbeu,chtop,chtüb,chtp,chtb,güteb,gdeb,chtba,kt-ba,chtpi,gdbe,gedob,chtbo,gedab,chteb,chtbi,gdabe,gedap,cht-b,,,,,,,,,,,,
andum,öntim,andmo,endma,undum,andem,entim,endm,indem,endem,indm,ondam,undam,and’m,andma,and-m,undem,andm,indmy,entem,indma,andmä,and'm,intim,endam,undim,end-m,entàm,,,,,,,,,,,,
erwyl,urwl,arvl,erwäl,örwel,ervol,erawl,ervil,ervel,erwal,arvle,arwel,erwel,àrwel,erval,ärwel,erwol,erwil,urwli,irwel,,,,,,,,,,,,,,,,,,,,
gips_,gebaß,chaps,_gabs,chibs,gibus,gepas,gebiß,gebis,_gips,chbes,gäbs,gäbs_,_gäbs,gib’s,chpaß,gabs,gabs_,keb’s,chbas,gebäs,gebas,coups,_gibs,gibs,gebüs,gbiss,giebs,chpas,gips,ghüps,gibbs,gbis,kääbs,,,,,,
opfwe,opfw,opfv,opfve,opf-v,opfew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsth,sseth,seth,ßdhue,z'th,synth,sitha,z'the,hsthu,sethà,zthee,ßdhu,sith,_sith,,,,,,,,,,,,,,,,,,,,,,,,,,
zarn,zern_,zürne,zorn,_zürn,zeran,zirne,zirn,_zorn,zirn_,züern,zürn,zuern,zorn_,zeren,hzorn,tzern,zern,zarn_,zürn_,zorni,,,,,,,,,,,,,,,,,,,
ifth,offdh,ofth,ufth,oftho,iftha,ufthü,_ufth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erüsf,orsf,ersof,üersf,arzfa,ersaw,arzf,ersüf,ersf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_mith,mthe,müth,_math,_meth,metho,metha,mmtho,müthi,muth_,math,müth_,mitha,mithi,mthei,mieth,matth,mmeth,mynth,mueth,müeth,meth,mith,mtho,muth,mmth,meth_,menth,mathi,_muth,mathä,,,,,,,,,
lufts,lefiz,lofz,hlofz,lofzi,lfze_,lfze,loofz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfatz,pfezo,pfts,pfts_,befz,pfätz,pfeze,befz_,pfiz,pfez,pfize,pfetz,beffz,_pfiz,pfàtz,,,,,,,,,,,,,,,,,,,,,,,,,
ixni,ixnu,egsin,éxion,agsun,exan,egsan,ex-n,exion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bewil,pevol,babil,babyl,biwel,pavil,bawel,buwel,bwil,bibel,bebel,ppwal,bwoli,bwohl,pwal,bàwel,peväl,biawl,babel,bevöl,bewäl,biewl,bwol,,,,,,,,,,,,,,,,,
dmiri,d’mör,dmarr,tmüra,d-mèr,demer,d’mèr,dmach,tmach,t'mr,te-mr,tt-mr,démar,d-mr,dtmür,d'mèr,tmar,tmür,timer,t-mr_,dmir,htmor,t-m’r,t-mr,dumor,dimor,tmor,d-mr_,dmar,t'mr_,,,,,,,,,,
lfin,lavin,lefan,lowun,lven,lofen,lewän,lafon,lofn,llven,lphon,lefon,läwen,lfen_,llfin,lfon,lofnà,lewan,hlofn,lafen,lfen,loven,löwin,lewen,,,,,,,,,,,,,,,,
rmüm,rmame,rmamm,rmam,rmumm,rmum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wurje,wärje,verjü,v'rj,wrige,_verj,wurrj,werjä,wärj,werj,v'rjä,_v'rj,wurj,verj,vrage,_wärj,,,,,,,,,,,,,,,,,,,,,,,,
ffdh,fdhü,ftho,feuth,fthüe,ffdhü,ftha,fthü,fenth,fetth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fzeic,fzuk,vezuc,ftsg,fütsc,ftsgu,fzug_,ffzig,vatsc,fzug,fzig,ftsc,ftsac,ftisc,futsc,fezog,ffzug,fzig_,,,,,,,,,,,,,,,,,,,,,,
üpft_,ipft,üpft,öpft_,àpft,upfd,opfdi,ipft_,upftü,üepft,àpft_,öpft,upfdü,epfet,epft_,upft‘,upft_,opft_,opft,opfd,opfti,epfät,epft,apft_,apft,äpft,üpft’,upft,,,,,,,,,,,,
tteln,dlin,tlen_,teln_,delin,ttlun,delna,dlun,dlein,teln,tlen,hteln,telan,dlän,tlan,talon,tlin,talen,delan,dlen_,telen,dlan,tlein,talan,deln,tlun,deln_,dlehn,ttlen,dlen,teiln,ttlan,tle-n,dolin,,,,,,
alsh,ohlsh,elesh,alshi,olshe,olsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ücksv,exew,oxve,axew,ugsv,axwe,axewä,exebu,axwei,exewä,icksw,oxver,ugsve,äxebä,,,,,,,,,,,,,,,,,,,,,,,,,,
gnemm,gnumm,genom,gnem,knäm,chenm,conom,knehm,_gnum,knäme,gneme,kenme,cknäm,gnum,gnäm,kenm,genem,ggnem,chnam,gnäme,gnahm,genum,g'num,,,,,,,,,,,,,,,,,
pfän,pfänn,pfün,befin,pfin,pfün_,pfen,pfan_,_pfin,pfnü,_pfün,pfann,buvon,_pfän,bewun,pfen_,pfene,pfan,pfüen,_pfen,_pfan,pfun,bewan,péfän,_pfun,pfenn,pfna,,,,,,,,,,,,,
ntfal,ntefl,ntfli,ndfl,ntfl,ndfil,ndfle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ewiwe,ebabi,awve,owev,ewiw,_awve,oweba,_owew,owew,ibewi,oweve,ibew,abaw,ebibe,oowev,_awv,owewi,awver,uibew,uwwew,owevi,,,,,,,,,,,,,,,,,,,
