0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
nien,näin,_nien,_näin,näin_,,,,,,,,,,,,,,,,,,,,,,,,,
zite,_zit,zit_,_zit_,züed,,,,,,,,,,,,,,,,,,,,,,,,,
_ass-,üess,_üse_,iess,üass,iesse,ass_,ües_,_eso_,üass_,_az',eiss_,_üse,_as_,eiss,ossig,eso_,üess_,_ass,_is_,üse_,_eso,_ass_,,,,,,,
cklig,glaü,klig,g'le,g'lo,_gli,_g'le,glig,_glaü,cle_,chla_,_g'l,klig_,gli_,glig_,_gli_,,,,,,,,,,,,,,
sàhn_,sinn,'sun,sàhn,sinn_,_sàhn,,,,,,,,,,,,,,,,,,,,,,,,
eger_,age_,ige_,ega_,iege_,üege_,üege,eige,_awe_,iege,_aüge,_eige,aüge,eige_,iga_,eger,awa_,ugo_,oge_,öge_,aüge_,üge_,ege_,aga_,,,,,,
iehr,_ihre,üech_,üer_,ara_,ihr',acha,eüch,üeche,acha_,iehre,eüch_,ihre,_ihr',ihr'_,_eüch,ihre_,àre_,_ar_,orig_,ora_,üech,,,,,,,,
_mehr,mehr_,mehr,_mr.,_mr_,'mach,mr..,,,,,,,,,,,,,,,,,,,,,,,
_nur_,n-r_,nn-r,_nur,-nr_,nur_,nn-r_,,,,,,,,,,,,,,,,,,,,,,,
_mie,_müe,_miei,mmig_,_mi_,_me_,mmig,'mei,_müa,mieih,mma_,_mag,mien,mig_,_mag_,miei,mag_,mien_,,,,,,,,,,,,
'wis,weiss,weis,'wiss,wiss_,_weis,,,,,,,,,,,,,,,,,,,,,,,,
aüwe_,üwe_,iwer,iwer_,_awe_,_iwer,awa_,aüwe,iwe_,_iwe,,,,,,,,,,,,,,,,,,,,
_lose,lhüse,lis_,lose_,lhüs,lise,,,,,,,,,,,,,,,,,,,,,,,,
vate,_vat,_vate,,,,,,,,,,,,,,,,,,,,,,,,,,,
eweg,eweg_,_ufg,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsi_,_gsi_,_g's,_g'sà,g'sàh,_cüsi,gasse,g'sà,_gsi,g'sài,_kas,gass,_cüs,,,,,,,,,,,,,,,,,
ielli,elli,àlle,allei,iell,ohl_,_eli,alla_,,,,,,,,,,,,,,,,,,,,,,
g're,g'ri,g'hir,_g're,_kuch,kuch,_g'r,_g'ri,,,,,,,,,,,,,,,,,,,,,,
wird,wird_,_wird,warte,,,,,,,,,,,,,,,,,,,,,,,,,,
üede,üete,üat_,iter_,eide_,üet_,àte_,_ode,üeder,eder_,int_,_eit,àit_,üete_,ide_,eda_,üeter,iede,eder,ieder,oder_,eid_,ater,ater_,iter,ede_,_oder,,,
wenig,_wànn,_wann,wànn_,_wan,_weni,wann_,_wàn,wànn,wann,weni,,,,,,,,,,,,,,,,,,,
_fir_,friei,frei,_fir,fir_,_fro,_frie,_fraü,fiehr,füer,füer_,_füer,fraü_,_frei,fraü,,,,,,,,,,,,,,,
ännt,unnöt,int_,ännte,ännt_,_and_,unnt_,unnt,,,,,,,,,,,,,,,,,,,,,,
_wied,_vate,_vat,wit_,hwàt,wiede,_wite,_wit_,vate,wied,wite,vater,,,,,,,,,,,,,,,,,,
laüb_,laüb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlig_,mlig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sal_,_sal_,_sàll,sàll,_sàl,,,,,,,,,,,,,,,,,,,,,,,,,
_kàm,_g'ma,_kàm_,kämm,kämme,_g'm,_g'me,_käm,_kämm,g'me,g'mei,kàm_,g'ma,,,,,,,,,,,,,,,,,
