mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,ANKVT,angeboten; eingeweiht,angebote; angebotte
Craig,VRTR,wurd'r; wärter; werter; wörter; verdraaue; vertraaue; vertrauen; v'rdoria; vertraue; vertröuj; verture; vordraa; vortraa; wachter; wurd‘r; wurd’r,vertroia; wöerter; verdärre; verdraue; vertrag; vertraüe; vertroie; vortrag; warter; verdraa; vertröj
Craig,KXTM,kostüm; kostüme,costume; g’schied-em; costüm
Craig,FRR,frère; führer; for-ere; frauchen; freyer; friere; früch; frührer; füchre; fureur; furore; v‘rirre,fiehrer; verehra; frache; fächer; fahrer; farçeur; frach; fräch; freier; frieih're; vor-ere; fracher
Craig,AFLS,einfluß; influss,ifluss; uflose
Craig,XTRN,stern; stirn; starne; stöere-n,starn; stirne; sterne; stören
Craig,KMSR,kommissär; kommissar; chemisier; commissär; kommissari,kummissär; cummissaire
Craig,FRX,frech; frosch; fahrsch; firschi; frecher; freche; frischi; frechi; fröujsch; firsch; fraijsch; frechs; frœjsch; frösch; frosche; fröüjsch; füerschi; furich; verrech; verrisch; versche; verschie; vorschueh; vurrsch,frisch; fiehrsch; frische; ferich; fiahrsch; fierich; forscha; frischa; vierschi; fröjsch; frischer
Craig,PKMX,bekummsch; bekommsch,bekämsch; bekumsch
Craig,STR,sütter; saat'r; suttere,siter; sitter; saat-r; sait'r; sait’r; sott-r
Craig,KRN,garçon; grüen; grüne; kron; korn; gerne; garni; grüene; grün; griene; kehren; crayon; grain; greiner; grini; grüeni; gryne; kern; kerne; krän; kronen,garn; grine; gern; garnie; cochon; grieni; karne; kran; küchen; grien; kuchen; grin; krone; gärn
Craig,HF,hawi; hawich; haw; hoff; hoffen; howe; hanf; häwi; häfe; hafen; haiwaaue; häufen; heffe; hiffe; hiwe; hofe; howi; hüewe; hufe; hüwe; hüffe,hof; hewe; hoffe; hafe; haf; hew; hinfe; höf; hoffa; hüfa
Craig,KXMKT,g‘schmeckt; geschmekt; geschmückt; geschmückten,g'schmeckt; g’schmeckt; gschmeckt
Craig,NTVNT,notwendig; notwendi; notwandi,notwandig; notwendich
Craig,KNPFL,knöpfle; knöepfle,knepfle; knepfel
Craig,AMKT,umkeijt; umgeht,imkeit; umkeit
