mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,,’ h e e r; ' h ö e r; ' h i e r; ’ h i e r; _ 0 0 0 _; ' h e e r; - o - o _; ’ i c h _; _ 5 0 0 _; - h a - h; _ 1 2 8 .; - a a a _; . . . . .; . 6 9 7 _; 1 2 8 . 6; 2 8 . 6 9; 8 . 6 9 7; _ 3 1 . _; ' h u i _; ’ h a u e; ’ h o e r; ’ h u i _; h - ä h _; - h u - h; - h i - h; 2 0 0 0 _; _ - y o _; _ ‘ a u _; _ 1 . 8 0; _ 1 2 5 _; _ 1 4 . _; _ 1 4 3 e; _ 1 6 . _; _ 1 7 . _; _ 1 8 7 2; _ 1 8 9 7; _ 1 9 1 8; _ 1 9 2 0; _ 2 0 - 3; _ 2 5 8 _; _ 2 5 e _; _ 3 0 0 0; _ 3 9 7 _; _ 4 - 5 _; _ 4 0 0 _; _ 6 0 0 0; _ 8 - 1 -; _ 9 9 9 _; - 1 - a _; - a - a _; - a - h _; - a a h _; - ä i e r; - e - e r; - e - i -; - e i - e; - h o - h; - i - e _; - o - o -; ' h a u e; ' h o e r; ' h ô e r; ’ h a a u; ’ h y e r; 0 - 3 0 _; 0 0 0 0 0; 1 . 8 0 _; 1 4 3 e r; 1 8 7 2 _; 1 8 9 7 _; 1 9 1 8 _; 1 9 2 0 _; 2 0 - 3 0; 3 0 0 0 0; 4 3 e r _; 6 0 0 0 _; 8 - 1 - a; h ' e r _; h h a u e; h h ö e r; _ 2 0 0 0; _ 3 / 4 _,_ . . . _; - i c h _; h h e r _; ’ h ö e r; _ 1 3 . _; _ 2 0 0 _; _ 5 0 . _; _ 1 0 0 0; 1 0 0 0 _; _ 1 8 6 8; _ 3 4 0 _; _ 1 0 0 _; _ 5 0 0 0; 5 0 0 0 _; 1 8 6 8 _; _ 1 9 1 4; _ 2 4 . _; _ 2 4 0 _; _ 6 0 . _; . . . i .; . . i . .; . i . . .; 1 9 1 4 _; h h e e _; h h u u _; . . . . _; _ 1 2 0 _; _ 4 5 0 _; _ 2 8 . _; _ 8 0 0 _; _ 9 9 e r; 9 9 e r _; _ - o h _; _ ' h a _; _ 1 0 . _; _ 1 0 0 .; _ 1 2 7 9; _ 1 5 - 2; _ 1 5 . _; _ 1 9 1 3; _ 2 3 0 _; _ 2 7 3 _; _ 3 0 . _; _ 3 4 ' _; _ 3 6 4 _; _ 4 2 5 _; _ 6 0 0 _; _ 6 2 9 _; _ 7 1 5 _; _ 8 9 . _; _ 9 0 0 _; - h à i _; - o h - o; - u - a a; . . . i _; 1 0 0 . _; 1 2 7 9 _; 1 5 - 2 0; 1 9 1 3 _; 5 - 2 0 _; h - e r _; h - o h _; h - o h -; _ . . . .; - a a a h; 0 0 0 0 _; _ 1 5 0 _; - h ä - h; 2 0 0 0 0
Craig,NPRV,n p r o w,n b r o w
Craig,ATRT,e t r e t; i d e r t; u d e r t; ü d i r t; o d e r d; u d i r t; a d e r t; a d r a t; a d r ä t; e d e r d; e d i r t; e d r a d; e t r ä t; e t r i t; i d i r t; i t a r t; i t e r d; i t i r t; o d r d u; ü d e r t; u t e r d; u t e r t; u t r e t,e d e r t; e t r a t; i t r a t; i t r e t; i t e r t; e d ü r t; u d e r d; a d r i d; ä t r ä t; e d r e t; e t a r d; e t ö r t; i t r i t; o d e r t; ä d e r t; a t r a t; i t r e d
Craig,HFTS,h ä f t s; h a f t s,h à f t s
Craig,TSRK,z e r u c; z u r ü c; z i r i k; d s r i c; _ z i r k; z i r k _; t s r a c; t s r e k; z i e r c; z e r i c; z e r k ä,z e r ü c; t z e r k; z e r a c; z ü r e c; z ü r k à; z u r u c; t s r i c; z i e r g
Craig,VNF,w i n f ä; w e n e v; w e n u f; _ w i n f,w e i n f; w i n f a
Craig,MTM,m a d a m; m a d e m; m i t m a; m e t m a; m i t m e; m m e t m; _ m a d m; m a d m o; m d e m _; m i ' t m; m m t e m; m t e m _,m i t m _; _ m i t m; m a d ä m; m e t - m; m i t - m; m i t e m
Craig,YFR,j e w a r; j a w o r; j e w e r; j e w u r; j v i e r,j o w o r; j f a c h
Craig,YSS,j e s ü s; j e s e s; j s ü e s; j é s u s,j e s u s
Craig,NFRK,n v e r g; n f r a g,n f r a c
