0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
läng,lange,ling,ling_,link,lang,_lang,lang_,_läng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iwel_,iwel,ewil_,ifel_,ewil,efal,ewill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_frie,_fir,_füer,fer_,_fro,_vier,fere_,füer,froh_,frei,_ver,_fur,_fir_,vier,füer_,vor_,fre_,vier_,_vori,frie,fiehr,_ver_,froh,_fri,ver_,_frei,_vor_,vori,_vor,_fre,fere,fahr,fir_,_froh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_nimm,name_,_niem,nimmi,_nimi,_name,nimm_,nimi_,niem,nimm,name,nieme,_nam,nimi,_nim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stimm,_stim,schtm,chtme,stim,chtm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g'sp,_g'sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlig_,rlig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_wage,_wege,wage,wege_,wege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_pape,pape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
çois,_sich,_sieh,sah_,saue,_sag,sieh_,_säi,ssig,_sei_,sieh,_sau,_sei,_z’_,sih_,ssa_,_s’_,sich_,sei_,_süe,_saue,saue_,sag_,_säu,sser_,_se_,çois_,ssier,seig,_sah,_'s_,_z'_,sse_,_so_,ssig_,_si_,ser_,_sag_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
