mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,ALTS,e l z e; o l z _; o l i z; a l t s; e l z _; e l t s; u l z e; i l d s; a l z e; e l d s; a l l z; i l t z; u l t z; ö l z e; ä l t s; a l z i; e l z u; i l z _; o l d s; e l z ü; a l e z; i l z e; o h l z; ä l z e,a h l z; u l d s; o l t z; ö e l z; a l d s; a l d z; e l l z; e l z i; i l l z; a l z _; e l i z; o l z i; u l e z; o l z e
Craig,ATS,o t t s; i t z _; u e t s; e t i s; e t s _; e n t s; e z i e; e z e i; i t t s; i t z e; i z e j; e t t s; ä t t s; e d s _; o o t s; e u t s; e d d s; ä t z _; e z ö u; ä t z e; e d e s; a n t s; e z u e; i t e s; e i t s; e t z e; a z u _; a t i s; e z i a; e z e h; i t i s; e n t z; ä t s e; o z i a; e z a h; o t e s; e h t s; o d e s; o h t s; a a t s; ê t e s; e i d s; i e d s; e z ö ü; i t z u; i z e n; ä d d s; a d e z; e i z _; e t e s; y t t z; ä t z i; i t t z; e i t z; a u e z; e z a j; o o d s; u e z i; a a d s; a t z h; e z o h; e d i z; e z i g; ü t z e; e t z u; y z e h; e i z u; e t s a; e t ü s; e z a o; e z a u; i d e s; o z u _; ü z e r; y t z e; o t z _; e z ü e; e z ö i; i d s _; ü e t z; a t z e; e h z u; y e z _; _ a a z; a a z e; ä d i s; a d s ä; a d s æ; ä i t s; ä t e s; ä t i s; a t s s; ä t z -; a z e e; e j t s; e t s ü; e u z _; i e t s; i e z _; i j t s; i t s s; i z e r; o h z i; ü z i e; e z ö j; u t e s; o t s _; a d i s; a i t s; a t e s; a t s ä; a t s e; e z ä j; o y e z; o z i e; i e h z; a u z _; a z i u; è d e s; e d s e; ê t e z; u n t z; _ a z _; ä ä t z; a d s _; a d u s; a i d s; a i z e; ä j t s; a n t z; a t e z; a t s i; ä t s u; a t z '; a t z i; a z e h; a z i _; a z i ö; æ t t s; æ t z _; æ t z e; e . z e; e d a s; e d i ß; e d s -; e d s a; e d t s; e d u z; e d ü z; e e h z; e e t z; e h z ü; e t ’ s; e t s e; e t s i; e t s s; e u t z; e u z e; e z a i; e z e e; e z i ö; e z ô ü; i e t z; i e z e; i n t z; i t ' s; i t e ß; i t s ü; i z e e; o - z e; o d s s; o d ü z; o h t z; o t s -; o t s s; ö t t s; o t z a; ö ü i z; ö ü z _; o u z a; o z e r; o z u e; o z ü e; u d e s; u e d s; u e z _; u e z e; ü e z e; u i t s; ü i z _; u t é s; u t e z; ü t s ü; u t z u; u z a i; ü z ä i; y t t s; y t z _; y z e r; y z i g; i z i e; e i z e; e z u _; o t i s; e z ä h; o t s a; u z e _; u t z e,e t z _; a t z _; i t z i; à t z e; i t s _; a t s _; e z ü _; u t z _; o t i z; i z e h; u ä t s; a u t s; i t z -; _ i z i; i z i _; ü t z _; à t z _; e z ä i; ü a t s; e d i s; i z i g; a t s a; o t z e; a z i e; i a t z; _ a z o; _ i z o; i z e _; u t z i; _ a z e; _ i z u; ä i d s; a t ’ s; a u i z; a z e i; i d a s; i t z '; i z i o; ü t e s; u u t s; u z i _; e t z i; i t z a; a t t s; e d e z; i e z i; u a t s; u d a s; i t ü s; a d e s; o d a s; ä i z e; e i z a; _ a z i; _ a z ü; _ e i z; à à t s; a i t z; ä t z u; a u z e; ä u z e; a z e n; a z e r; a z i a; a z i o; e ’ t s; e i z i; e t à s; e t a s; e t z -; e t z a; i d e z; i t - z; i t s -; i t z h; o d s i; o t z i; ü ä t s; ü d a s; u i z e; u i z i; u n t s; u t - s; u t z ä; ü z e _; ü z i _; o d i s; ü e t s; ä t s _; e z e j; i z e i; _ ü t z; i n t s; _ a t z; e d ü s; ü t z u; ä h z o; a t a s; ä t z '; e d ' s; u e t z; u z e r; u z i e; i t s a; ü t t s
Craig,NV,n v e r; n o u v; _ n e w; n e w e; n i v e; n ä w e; n w ü e; n e b e; n n i v; n e v ö; _ n u w; _ n ü w; n u w e; n e w ä; n u e w; h n a w; n a w w; n e e w; n i e w; n ü w e; n w e r; _ n ä w; n e w -; n ü w w; n w e i; n e b ö; n ü b e; n e v a; n e w w; n i b u; n v i e; n w u e; h n ä w; n a b ü; - i n v; ’ i n v; h n e w; h n v e; n - e w; n - o w; n ä b e; n a i v; n a w _; n æ w e; n e b ü; n e w y; n h e w; n i w i; n w ä j; n w ä y; n i w w; n w e n; n e b a,n à w e; _ n à w; n e v e; _ n e v; n w i e; n e w a; n w o h; n o w e; h n w e; n i w e; _ n o w; n n e w; _ n a w; n v o i; n i b ü; n w e h; n ö v e; n e b i; n a - w; n a w a; _ n o v; h n w i; n a v e; n e b ä; n e b u; n e u v; n e w i; n n a w; n o b e; n o h w; n o v e; n o w a; n ö w e; n a b e; n v e n; n a w e; n ü e w; n e v i; n i b a; n n w e; _ n i w
Craig,ATT,i d a t; i t ä t; i d i d; e t ä t; e t i t; e d y t; i t a t; e t a t; u t e t; a d a t; a d i t; e d i d; e n t d; a t ü t; é d i t; i d e d; o d i d; ä t ä t; a d ’ t; a d ä t; a d o t; a d t t; a t ä d; a t t d; e d ä d; e d a t; e d u d; e t - d; é t a t; é t i t; é t u d; i d ä d; i t t d; i t ü t; o d e d; ö d ö d; u t - d; u t a t; y d i d; y t t t,e d i t; i d e t; o t e t; a d e d; a d e t; i t a d; e d ' t; e d ’ t; e t e t; e d e t; a t i t; a t e t; ü t e t; i t à d; i t u d; a t ä t; e d o d; e d u t; i d ' t; i t - d; i t d e; i t t t; i t u t; ö t d e; ü d e t; ü t t t; ü t a t; e t o d; i d ’ t; i t e t
Craig,FTXP,f t s p,f t s b
Craig,NSKL,n s k l,n s g l
Craig,NTL,n d l i; n t e l; n d e l; n t a l; n n t l; n t i l; n t è l; n d a l; n t l e; n d é l; n o d l; n d o l; n t ’ l; n d l u; n d l o; n d l _; n e t l; n t o l; n u d l,n t l i; n d l e; n ü d l; n t l a; n d l a; n t l o; n d ’ l
Craig,LKM,l g e m; l c o m; l k o m,l k u m; l k a m; l i g m; l u g m
Craig,FT,v a d d; _ v a d; f t i g; f f t _; f a i t; f t i _; f f e t; _ f e t; _ v e t; v e t t; f e d d; v i t e; f e t t; f t e n; f e n t; f a u t; f a n t; f f a t; _ v e d; v e d d; f d i _; _ v i t; f i t i; v i t ä; f i t _; _ f e d; _ f ü d; f ü d d; _ f o d; f o d e; _ f ü t; f f i t; f e t _; _ v o d; f a d d; _ f ê t; f d ö i; f ê t e; _ v ä t; f a a t; f e t -; v e t i; p h o t; _ f a d; f u e d; v o d d; ' f i t; f o n t; p h t e; v o i t; f ä j t; f a t i; f a u d; f f t e; f i t ü; f t e -; v a t _; v ä t e; v a t i; v e u t; v i d e; _ v o t; _ f i t; f a d e; _ f t e; _ v é t; _ v i d; - f i t; ' f t a; ’ f t e; f - d i; f a a d; f a d i; f d e _; f e d o; f e e d; f e i t; f e u t; f e y t; f f d u; f i d è; f o t _; f t ’ _; f t e i; f ü t i; f u t u; p h i t; v a i t; v ä t t; v a u t; v e d i; v é t é; v i d i; v i t i; v o d e; v o u d; f ä d e; _ f ä d; f ü t t,v a t e; _ v a t; f t e _; f e t i; v a t t; _ f a t; f a t a; f e d e; f f e d; f à d e; f ü e d; ' f à d; f t a _; v o t '; f t a ü; v e t _; _ f u t; f f o t; f o t t; v i e t; v o t i; f a t t; _ f à d; f i t u; f u t e; _ f à t; f a j t; f e d u; f i a t; f t i u; f u t t; h v a t; v a t o; f t e r; f e t e; f i d e; p h e t; _ v ô t; ’ f ä d; f e e t; f f d e; f f t i; _ f i d; ’ f i t
Craig,TKST,t e x t,d a x t
