0,1,2,3,4,5
here,,,,,
laub,,,,,
wurd,,,,,
dier,dder,,,,
hett,,,,,
schä,schu,,,,
klic,,,,,
mues,muess,mueß,,,
frau,,,,,
uess,,,,,
uech,ooch,,,,
enne,eann,eanne,inne,anne,önne
bisse,biss,,,,
gott,guet,kter,,,
idder,edde,idde,,,
saat,,,,,
chun,schun,,,,
klich,glau,,,,
widd,widde,,,,
gewi,,,,,
önnt,,,,,
sehn,,,,,
