"data","Freq"
"s e l l _",240
"_ s c h r",239
"b e s s e",239
"_ s c h m",237
"e d d e _",237
"k i n d e",237
"_ e i n _",236
"_ m e n s",236
"k i n d _",236
"r e d d e",236
"_ h a n n",235
"_ d ü e _",234
"_ g l a u",233
"i c h e _",232
"_ b e s s",231
"_ e r s c",231
"s c h i c",231
"s t e h t",231
"m e i n e",230
"_ b l i e",229
"_ a l s o",228
"_ d e r f",228
"m u e ß _",228
"s c h w i",228
"_ b r i n",227
"a l s o _",227
"l l e r _",227
"t e h t _",226
"_ m e r c",225
"_ s e h n",225
"i t t e r",225
"_ g e r n",224
"m e r c i",224
"e r u m _",223
"h a n n _",223
"i n g e _",223
"_ u n t e",222
"g e r n _",222
"n t e r _",222
"s t a n d",222
"e r c i _",221
"i n e r e",221
"a b b e _",220
"w i t t _",220
"e i n e r",218
"w o r t _",218
"_ k l e i",217
"j e a n _",216
"n d e r s",215
"_ n a c h",214
"k ö n n e",214
"k o p f _",214
"b r ü c h",212
"i e u r _",212
"t e h n _",212
"s i c h e",211
"_ z i t t",210
"d a m e _",210
"r s t e h",210
"s c h n e",210
"v e r s c",210
"_ f u r _",209
"i m m i _",209
"k e n n e",209
"e r l i c",208
"i h n e _",208
"n u n g _",208
"_ h i e r",207
"_ k o p f",207
"k l i c h",207
"n i m m i",207
"_ h a n s",206
"_ m o n s",206
"_ s a a u",206
"s t e h n",206
"s a a u e",205
"_ p r i n",204
"e k u m m",204
"m o n s i",204
"n s i e u",204
"o n s i e",204
"w o h r _",204
"g ' s c h",202
"h e r e _",202
"k ö n n t",202
"w w e r _",202
"_ a n g e",200
"p r i n z",200
"o o c h _",199
"_ e s o _",198
"a d a m _",198
"l e i n _",198
"s c h e n",198
"_ k i n j",197
"g l ü c k",196
"_ b r ü c",195
"e t t e _",195
"n g e r _",195
"i e d e r",194
"m a c h _",194
"_ s c h o",193
"d r a n _",193
"_ j o h r",192
"n n s c h",192
"g s c h t",190
"u n g e _",190
"_ d r a n",189
"_ l o s s",189
"e t e r _",189
"s c h e e",189
"_ v e r r",188
"o r j e _",188
"_ g ü e t",187
"l i e b _",187
"_ v e r g",186
"_ w e i ß",186
"b e k u m",186
"e c h e _",186
"_ d i n i",185
"_ l o n _",185
"_ w a r t",184
"d i n i _",184
"e n k e _",184
"r i n g e",184
"t i o n _",184
"w e i ß _",184
"h i e r _",183
"j o h r _",183
"e h s c h",182
"r i s c h",182
"_ b i e _",181
"d e n k _",181
"n d e r e",181
"_ w u r r",180
"c k e l _",180
