mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,TSF,z e f; z i w; z a w; z e v; z u f; z e w; z u w; t s v; z a f; z u v; z o w; t z f; d s f; d s v; z ü v; z i f,z ü f; t s f
Craig,XT,s t ä; c h d; s t ü; s d a; s d i; s t y; s d ö; _ s t; s t æ; s d ü; s t '; s t ’; s h t; s t a; s t .; s d u; s t -; s t é; c h t; s d e,s t _; s t o; s t i; s t e; s t à; s t u; s t ö; s d ä; s d o; s t è; s t ë
Craig,LY,l j e; l j _; l j o; l l j; l j i,l j u
Craig,KX,c c h; g s h; c s h,k c h
Craig,RV,r v u; _ r v; r e v; r ü w; r a v; r o w; r e w; r v i; _ r w; r v e; r w ä; r y w; r w y; r i v; h r w; r w ü; r w u; ' r w; r v _; r w ö; r r w; r w é; r - v; r w o; ‘ r w; r - w; r ' v; r u w; r v ä; r ä w; r ä v; r v é,r v o; r a w; r i w; r w a; r w i; r w à; r w e; r v a; h r v; r o v; r é v; r v ö
Craig,TSN,z e n; t s n; z u n; z a n; t z n; d s n; z i n,z o n; z à n; z ü n; z ä n
Craig,FTH,f d h,f t h
Craig,APTS,i p z; e b z,a b z
Craig,AXT,e s d; u s t; i s d; e s t; ü s t; y s t; ö s t; u s d; a s d; ä s t; é s t,a s t; o s t; i s t; à s t; ü s d; ä s d; è s t
Craig,MTS,m z e; m u z; m e z; m z i; m i z,m z u; m à z; m z o; m t s; m d s
Craig,AKF,ü k v,e g f; a g f; i g f
Craig,TSK,t s c; d s c; z e k; z e g; z ü g; t s k; z u c; z i g; d s g; z ü c; z u k; t z g; z a c; z i k; z y g; t s g; d s k,z o g; t z k; z u g; z e c; z ö g; z a g; z i c; z ü k
Craig,HM,h ä m; h e m; h a m; h o m; h ü m; h æ m; h è m,h i m; h u m; h à m; h y m
Craig,ASV,e s w; e s v; a s w; e z v; i ß v; i s w; e ß w; a ß v; o s v; o s w; ö s w; u ß w,u s w; ü s w; i s v
Craig,SKS,s e x; s g s; s i x; z g s; s u x,s a x
Craig,PKS,b o x; b u x; b i x,b g s
Craig,LTK,l d g; l t g; l d k,l t k
Craig,KXP,g s p; g s b,k s b; k s p
Craig,X,c h u; c h ä; c h '; c h y; s h _; c h ’; c h è; _ s h; c h é; c h e; s h ä; s h u; s h ü; s h o; h s h; h c h; c h ‘; c h ‚; ’ c h; ' s h; ’ s h; c h æ; ß c h,c h o; c h à; c h i; c h ü; c h ö; ' c h; s h a; c h -; s h e; c h a; s h i; s h à; - c h; . c h; s h ö; _ c h
Craig,RK,r c i; r e c; r ä c; r i g; r i c; r a k; r i k; r e k; r k u; r y c; r r g; r g o; _ r g; ' r k; r g ’; r c e; r g é; r k i; h r g; r ä g; r i q; r c a; ' r g; r é c; r k ö; r k ä; r u k; r c u; ’ r g; r ö c; r k o; r æ c; r c k; r ü k; r k ü; r é g; r ü g; r k a; r g u; r g g; r - g; r g ü; ‘ r g; ‘ r k; r - k; r ’ g; r è g; r e q; r g h; r g ö; r g y; r ı g; r k ’; r ö k; r c o,r o g; r g _; r a g; r à c; r g a; r a c; r u c; r g e; r ü c; r k e; r o c; r k _; r e g; r g ä; r g '; r g à; r g i; r o k; r à g; r g è; r ä k; r k -; r k à; r r k; r u q; r u g; r k '
Craig,ARL,e r l; ü r l; o r l; a r l; ä r l; u r l; æ r l,i r l; à r l; ö r l
Craig,ASY,ö ß j; ö s j; ä ß j; ü s j; a s j; e s j; e z j; o s j,u s j
Craig,NV,n v e; n e w; n i v; n ä w; n w e; n v i; n w ü; n ü w; n u w; n w u; n w a; n a w; n v o; h n v; n æ w; n v '; n v ‘; n v ’; n w ä; n o w,n à w; n e v; h n w; n w i; n ö v; n w o; n a v; n o v; n ö w; n i w; n v a; n n w
Craig,TV,t v e; t w a; d e v; t w e; t w ä; t i v; t a v; t a w; d a v; t w ü; d w i; h t v; t t v; t ä v; t v '; t ö w; t o w; d w a; h t w; t w u; d w ä; t v a; t w y; t t w; d u w; _ d v; - d w; d - w; d ’ w; d t v; d v _; d w ö; d w u; d y w; t ' w; t v ‘; t v i; t v ö; t w æ; d e w; t e w; d w e,t w i; t u w; t v o; d ü w; d o w; t ü w; t i w; t w o; d v i; d v e; d v a; d w o; t - v; t w ö; t h w; t - w; t e v; d i v; d v o
Craig,NKL,n k l,n c l; n g l
Craig,RNT,r n t,r n d
Craig,APR,e b r; e p r; ü b r; o b r; u b r; u p r; y b r; é p r,a p r; o p r; a b r; ü p r; i b r
Craig,KPR,g b r,k b r; c b r; g p r; k p r
Craig,VV,w o w; v i v; w y w; w e v; v e w; w v e,w i w; w e w; w à w; w a w; w ä w; w i v
Craig,NL,n e l; n l a; h n l; n l o; n l ü; n u l; n l u; n i l; n ö l; ’ n l; n l ö,n l i; n a l; n o l; n n l; n l e; n ä l; n l ä
Craig,ALS,e l s; e l z; a l s; o l z; u l z; u l s; a l z; ö l z; ä l s; i l z; ü l s; y l s; i l s,o l s; à l s; ä l z
Craig,RSF,r z f,r s f
Craig,TX,d c h; t s h; d s h,t c h
Craig,RKF,r g f,r g v
Craig,PP,b a b; p a p; b u b; b ä b; b o b; p e p; b e b; b ü b; p ä b; p a b; p i p; p o p; b a p; b é b; b y b; _ b p; b b p; b ö b; p b a; p ü b,p u p; p u b; b e p; p à p; p ü p; b i b
Craig,FRL,f r l,v r l
